date,service,region,team,env,cost_usd,account_id
2025-07-22,Amazon DynamoDB,us-east-1,Backend,prod,24.51,847291038472
2025-07-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,52.89,847291038472
2025-07-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,19.78,847291038472
2025-07-23,Amazon Relational Database Service,us-east-1,Database,prod,34.41,847291038472
2025-07-23,Amazon Relational Database Service,us-east-1,Database,dev,9.76,847291038472
2025-07-23,Amazon Simple Storage Service,us-west-2,Data,prod,11.18,847291038472
2025-07-23,Amazon CloudFront,global,Frontend,prod,21.67,847291038472
2025-07-23,Amazon CloudFront,global,Frontend,staging,5.29,847291038472
2025-07-23,Amazon DynamoDB,us-east-1,Backend,prod,23.42,847291038472
2025-07-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.57,847291038472
2025-07-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.28,847291038472
2025-07-24,Amazon Relational Database Service,us-east-1,Database,prod,36.92,847291038472
2025-07-24,Amazon Relational Database Service,us-east-1,Database,dev,7.51,847291038472
2025-07-24,Amazon Simple Storage Service,us-west-2,Data,prod,11.6,847291038472
2025-07-24,Amazon CloudFront,global,Frontend,prod,15.7,847291038472
2025-07-24,Amazon CloudFront,global,Frontend,staging,3.83,847291038472
2025-07-24,Amazon DynamoDB,us-east-1,Backend,prod,23.61,847291038472
2025-07-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,46.06,847291038472
2025-07-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.63,847291038472
2025-07-25,Amazon Relational Database Service,us-east-1,Database,prod,36.75,847291038472
2025-07-25,Amazon Relational Database Service,us-east-1,Database,dev,9.75,847291038472
2025-07-25,Amazon Simple Storage Service,us-west-2,Data,prod,12.46,847291038472
2025-07-25,Amazon CloudFront,global,Frontend,prod,23.93,847291038472
2025-07-25,Amazon CloudFront,global,Frontend,staging,7.33,847291038472
2025-07-25,Amazon DynamoDB,us-east-1,Backend,prod,22.36,847291038472
2025-07-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.46,847291038472
2025-07-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.35,847291038472
2025-07-26,Amazon Relational Database Service,us-east-1,Database,prod,36.96,847291038472
2025-07-26,Amazon Relational Database Service,us-east-1,Database,dev,8.38,847291038472
2025-07-26,Amazon Simple Storage Service,us-west-2,Data,prod,13.52,847291038472
2025-07-26,Amazon CloudFront,global,Frontend,prod,18.12,847291038472
2025-07-26,Amazon CloudFront,global,Frontend,staging,3.82,847291038472
2025-07-26,Amazon DynamoDB,us-east-1,Backend,prod,24.23,847291038472
2025-07-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,39.61,847291038472
2025-07-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.89,847291038472
2025-07-27,Amazon Relational Database Service,us-east-1,Database,prod,35.47,847291038472
2025-07-27,Amazon Relational Database Service,us-east-1,Database,dev,7.63,847291038472
2025-07-27,Amazon Simple Storage Service,us-west-2,Data,prod,11.76,847291038472
2025-07-27,Amazon CloudFront,global,Frontend,prod,22.41,847291038472
2025-07-27,Amazon CloudFront,global,Frontend,staging,5.45,847291038472
2025-07-27,Amazon DynamoDB,us-east-1,Backend,prod,24.1,847291038472
2025-07-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.09,847291038472
2025-07-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.14,847291038472
2025-07-28,Amazon Relational Database Service,us-east-1,Database,prod,34.24,847291038472
2025-07-28,Amazon Relational Database Service,us-east-1,Database,dev,8.3,847291038472
2025-07-28,Amazon Simple Storage Service,us-west-2,Data,prod,15.14,847291038472
2025-07-28,Amazon CloudFront,global,Frontend,prod,17.47,847291038472
2025-07-28,Amazon CloudFront,global,Frontend,staging,4.97,847291038472
2025-07-28,Amazon DynamoDB,us-east-1,Backend,prod,23.72,847291038472
2025-07-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,48.63,847291038472
2025-07-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,12.98,847291038472
2025-07-29,Amazon Relational Database Service,us-east-1,Database,prod,38.39,847291038472
2025-07-29,Amazon Relational Database Service,us-east-1,Database,dev,8.36,847291038472
2025-07-29,Amazon Simple Storage Service,us-west-2,Data,prod,9.65,847291038472
2025-07-29,Amazon CloudFront,global,Frontend,prod,21.91,847291038472
2025-07-29,Amazon CloudFront,global,Frontend,staging,5.8,847291038472
2025-07-29,Amazon DynamoDB,us-east-1,Backend,prod,20.43,847291038472
2025-07-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.41,847291038472
2025-07-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.9,847291038472
2025-07-30,Amazon Relational Database Service,us-east-1,Database,prod,38.47,847291038472
2025-07-30,Amazon Relational Database Service,us-east-1,Database,dev,9.33,847291038472
2025-07-30,Amazon Simple Storage Service,us-west-2,Data,prod,12.64,847291038472
2025-07-30,Amazon CloudFront,global,Frontend,prod,22.09,847291038472
2025-07-30,Amazon CloudFront,global,Frontend,staging,5.55,847291038472
2025-07-30,Amazon DynamoDB,us-east-1,Backend,prod,20.26,847291038472
2025-07-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.67,847291038472
2025-07-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.52,847291038472
2025-07-31,Amazon Relational Database Service,us-east-1,Database,prod,35.24,847291038472
2025-07-31,Amazon Relational Database Service,us-east-1,Database,dev,8.49,847291038472
2025-07-31,Amazon Simple Storage Service,us-west-2,Data,prod,13.62,847291038472
2025-07-31,Amazon CloudFront,global,Frontend,prod,19.57,847291038472
2025-07-31,Amazon CloudFront,global,Frontend,staging,5.21,847291038472
2025-07-31,Amazon DynamoDB,us-east-1,Backend,prod,20.05,847291038472
2025-08-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.97,847291038472
2025-08-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.6,847291038472
2025-08-01,Amazon Relational Database Service,us-east-1,Database,prod,34.74,847291038472
2025-08-01,Amazon Relational Database Service,us-east-1,Database,dev,9.48,847291038472
2025-08-01,Amazon Simple Storage Service,us-west-2,Data,prod,12.66,847291038472
2025-08-01,Amazon CloudFront,global,Frontend,prod,18.45,847291038472
2025-08-01,Amazon CloudFront,global,Frontend,staging,7.47,847291038472
2025-08-01,Amazon DynamoDB,us-east-1,Backend,prod,25.16,847291038472
2025-08-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.41,847291038472
2025-08-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.22,847291038472
2025-08-02,Amazon Relational Database Service,us-east-1,Database,prod,35.41,847291038472
2025-08-02,Amazon Relational Database Service,us-east-1,Database,dev,5.96,847291038472
2025-08-02,Amazon Simple Storage Service,us-west-2,Data,prod,14.47,847291038472
2025-08-02,Amazon CloudFront,global,Frontend,prod,17.23,847291038472
2025-08-02,Amazon CloudFront,global,Frontend,staging,6.81,847291038472
2025-08-02,Amazon DynamoDB,us-east-1,Backend,prod,21.0,847291038472
2025-08-03,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,52.05,847291038472
2025-08-03,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.11,847291038472
2025-08-03,Amazon Relational Database Service,us-east-1,Database,prod,34.1,847291038472
2025-08-03,Amazon Relational Database Service,us-east-1,Database,dev,7.8,847291038472
2025-08-03,Amazon Simple Storage Service,us-west-2,Data,prod,13.81,847291038472
2025-08-03,Amazon CloudFront,global,Frontend,prod,17.11,847291038472
2025-08-03,Amazon CloudFront,global,Frontend,staging,5.32,847291038472
2025-08-03,Amazon DynamoDB,us-east-1,Backend,prod,20.51,847291038472
2025-08-04,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,53.17,847291038472
2025-08-04,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.41,847291038472
2025-08-04,Amazon Relational Database Service,us-east-1,Database,prod,34.73,847291038472
2025-08-04,Amazon Relational Database Service,us-east-1,Database,dev,6.32,847291038472
2025-08-04,Amazon Simple Storage Service,us-west-2,Data,prod,15.12,847291038472
2025-08-04,Amazon CloudFront,global,Frontend,prod,19.1,847291038472
2025-08-04,Amazon CloudFront,global,Frontend,staging,4.92,847291038472
2025-08-04,Amazon DynamoDB,us-east-1,Backend,prod,20.24,847291038472
2025-08-05,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.43,847291038472
2025-08-05,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.26,847291038472
2025-08-05,Amazon Relational Database Service,us-east-1,Database,prod,38.71,847291038472
2025-08-05,Amazon Relational Database Service,us-east-1,Database,dev,8.55,847291038472
2025-08-05,Amazon Simple Storage Service,us-west-2,Data,prod,12.76,847291038472
2025-08-05,Amazon CloudFront,global,Frontend,prod,22.01,847291038472
2025-08-05,Amazon CloudFront,global,Frontend,staging,5.67,847291038472
2025-08-05,Amazon DynamoDB,us-east-1,Backend,prod,25.34,847291038472
2025-08-06,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.52,847291038472
2025-08-06,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,12.15,847291038472
2025-08-06,Amazon Relational Database Service,us-east-1,Database,prod,34.09,847291038472
2025-08-06,Amazon Relational Database Service,us-east-1,Database,dev,8.08,847291038472
2025-08-06,Amazon Simple Storage Service,us-west-2,Data,prod,16.01,847291038472
2025-08-06,Amazon CloudFront,global,Frontend,prod,20.51,847291038472
2025-08-06,Amazon CloudFront,global,Frontend,staging,4.52,847291038472
2025-08-06,Amazon DynamoDB,us-east-1,Backend,prod,23.77,847291038472
2025-08-07,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,40.52,847291038472
2025-08-07,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.69,847291038472
2025-08-07,Amazon Relational Database Service,us-east-1,Database,prod,36.32,847291038472
2025-08-07,Amazon Relational Database Service,us-east-1,Database,dev,7.44,847291038472
2025-08-07,Amazon Simple Storage Service,us-west-2,Data,prod,13.64,847291038472
2025-08-07,Amazon CloudFront,global,Frontend,prod,22.34,847291038472
2025-08-07,Amazon CloudFront,global,Frontend,staging,4.69,847291038472
2025-08-07,Amazon DynamoDB,us-east-1,Backend,prod,19.73,847291038472
2025-08-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,51.75,847291038472
2025-08-08,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.74,847291038472
2025-08-08,Amazon Relational Database Service,us-east-1,Database,prod,37.77,847291038472
2025-08-08,Amazon Relational Database Service,us-east-1,Database,dev,9.11,847291038472
2025-08-08,Amazon Simple Storage Service,us-west-2,Data,prod,15.25,847291038472
2025-08-08,Amazon CloudFront,global,Frontend,prod,21.47,847291038472
2025-08-08,Amazon CloudFront,global,Frontend,staging,3.99,847291038472
2025-08-08,Amazon DynamoDB,us-east-1,Backend,prod,25.02,847291038472
2025-08-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,48.98,847291038472
2025-08-09,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.06,847291038472
2025-08-09,Amazon Relational Database Service,us-east-1,Database,prod,34.74,847291038472
2025-08-09,Amazon Relational Database Service,us-east-1,Database,dev,7.19,847291038472
2025-08-09,Amazon Simple Storage Service,us-west-2,Data,prod,16.85,847291038472
2025-08-09,Amazon CloudFront,global,Frontend,prod,19.72,847291038472
2025-08-09,Amazon CloudFront,global,Frontend,staging,5.25,847291038472
2025-08-09,Amazon DynamoDB,us-east-1,Backend,prod,21.8,847291038472
2025-08-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,42.59,847291038472
2025-08-10,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.12,847291038472
2025-08-10,Amazon Relational Database Service,us-east-1,Database,prod,35.0,847291038472
2025-08-10,Amazon Relational Database Service,us-east-1,Database,dev,8.19,847291038472
2025-08-10,Amazon Simple Storage Service,us-west-2,Data,prod,14.01,847291038472
2025-08-10,Amazon CloudFront,global,Frontend,prod,19.61,847291038472
2025-08-10,Amazon CloudFront,global,Frontend,staging,5.83,847291038472
2025-08-10,Amazon DynamoDB,us-east-1,Backend,prod,24.53,847291038472
2025-08-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.6,847291038472
2025-08-11,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.65,847291038472
2025-08-11,Amazon Relational Database Service,us-east-1,Database,prod,36.13,847291038472
2025-08-11,Amazon Relational Database Service,us-east-1,Database,dev,7.69,847291038472
2025-08-11,Amazon Simple Storage Service,us-west-2,Data,prod,10.8,847291038472
2025-08-11,Amazon CloudFront,global,Frontend,prod,27.24,847291038472
2025-08-11,Amazon CloudFront,global,Frontend,staging,6.51,847291038472
2025-08-11,Amazon DynamoDB,us-east-1,Backend,prod,26.1,847291038472
2025-08-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,55.06,847291038472
2025-08-12,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,19.66,847291038472
2025-08-12,Amazon Relational Database Service,us-east-1,Database,prod,36.71,847291038472
2025-08-12,Amazon Relational Database Service,us-east-1,Database,dev,9.28,847291038472
2025-08-12,Amazon Simple Storage Service,us-west-2,Data,prod,15.0,847291038472
2025-08-12,Amazon CloudFront,global,Frontend,prod,21.05,847291038472
2025-08-12,Amazon CloudFront,global,Frontend,staging,6.24,847291038472
2025-08-12,Amazon DynamoDB,us-east-1,Backend,prod,24.44,847291038472
2025-08-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,51.37,847291038472
2025-08-13,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.46,847291038472
2025-08-13,Amazon Relational Database Service,us-east-1,Database,prod,37.1,847291038472
2025-08-13,Amazon Relational Database Service,us-east-1,Database,dev,8.09,847291038472
2025-08-13,Amazon Simple Storage Service,us-west-2,Data,prod,10.34,847291038472
2025-08-13,Amazon CloudFront,global,Frontend,prod,16.87,847291038472
2025-08-13,Amazon CloudFront,global,Frontend,staging,6.52,847291038472
2025-08-13,Amazon DynamoDB,us-east-1,Backend,prod,20.1,847291038472
2025-08-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,48.22,847291038472
2025-08-14,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.9,847291038472
2025-08-14,Amazon Relational Database Service,us-east-1,Database,prod,36.9,847291038472
2025-08-14,Amazon Relational Database Service,us-east-1,Database,dev,7.67,847291038472
2025-08-14,Amazon Simple Storage Service,us-west-2,Data,prod,13.41,847291038472
2025-08-14,Amazon CloudFront,global,Frontend,prod,19.82,847291038472
2025-08-14,Amazon CloudFront,global,Frontend,staging,5.95,847291038472
2025-08-14,Amazon DynamoDB,us-east-1,Backend,prod,26.73,847291038472
2025-08-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,47.55,847291038472
2025-08-15,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,13.97,847291038472
2025-08-15,Amazon Relational Database Service,us-east-1,Database,prod,35.71,847291038472
2025-08-15,Amazon Relational Database Service,us-east-1,Database,dev,9.13,847291038472
2025-08-15,Amazon Simple Storage Service,us-west-2,Data,prod,11.69,847291038472
2025-08-15,Amazon CloudFront,global,Frontend,prod,18.73,847291038472
2025-08-15,Amazon CloudFront,global,Frontend,staging,5.39,847291038472
2025-08-15,Amazon DynamoDB,us-east-1,Backend,prod,25.14,847291038472
2025-08-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.8,847291038472
2025-08-16,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.19,847291038472
2025-08-16,Amazon Relational Database Service,us-east-1,Database,prod,39.96,847291038472
2025-08-16,Amazon Relational Database Service,us-east-1,Database,dev,8.53,847291038472
2025-08-16,Amazon Simple Storage Service,us-west-2,Data,prod,13.43,847291038472
2025-08-16,Amazon CloudFront,global,Frontend,prod,24.23,847291038472
2025-08-16,Amazon CloudFront,global,Frontend,staging,7.81,847291038472
2025-08-16,Amazon DynamoDB,us-east-1,Backend,prod,22.04,847291038472
2025-08-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,37.56,847291038472
2025-08-17,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.7,847291038472
2025-08-17,Amazon Relational Database Service,us-east-1,Database,prod,34.75,847291038472
2025-08-17,Amazon Relational Database Service,us-east-1,Database,dev,8.63,847291038472
2025-08-17,Amazon Simple Storage Service,us-west-2,Data,prod,13.49,847291038472
2025-08-17,Amazon CloudFront,global,Frontend,prod,22.91,847291038472
2025-08-17,Amazon CloudFront,global,Frontend,staging,6.34,847291038472
2025-08-17,Amazon DynamoDB,us-east-1,Backend,prod,24.24,847291038472
2025-08-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.3,847291038472
2025-08-18,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.33,847291038472
2025-08-18,Amazon Relational Database Service,us-east-1,Database,prod,35.74,847291038472
2025-08-18,Amazon Relational Database Service,us-east-1,Database,dev,7.73,847291038472
2025-08-18,Amazon Simple Storage Service,us-west-2,Data,prod,11.9,847291038472
2025-08-18,Amazon CloudFront,global,Frontend,prod,17.59,847291038472
2025-08-18,Amazon CloudFront,global,Frontend,staging,6.66,847291038472
2025-08-18,Amazon DynamoDB,us-east-1,Backend,prod,22.83,847291038472
2025-08-19,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,40.96,847291038472
2025-08-19,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,11.86,847291038472
2025-08-19,Amazon Relational Database Service,us-east-1,Database,prod,39.12,847291038472
2025-08-19,Amazon Relational Database Service,us-east-1,Database,dev,7.79,847291038472
2025-08-19,Amazon Simple Storage Service,us-west-2,Data,prod,15.66,847291038472
2025-08-19,Amazon CloudFront,global,Frontend,prod,22.25,847291038472
2025-08-19,Amazon CloudFront,global,Frontend,staging,7.54,847291038472
2025-08-19,Amazon DynamoDB,us-east-1,Backend,prod,24.64,847291038472
2025-08-20,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,41.52,847291038472
2025-08-20,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,11.48,847291038472
2025-08-20,Amazon Relational Database Service,us-east-1,Database,prod,39.91,847291038472
2025-08-20,Amazon Relational Database Service,us-east-1,Database,dev,8.43,847291038472
2025-08-20,Amazon Simple Storage Service,us-west-2,Data,prod,14.47,847291038472
2025-08-20,Amazon CloudFront,global,Frontend,prod,25.42,847291038472
2025-08-20,Amazon CloudFront,global,Frontend,staging,6.97,847291038472
2025-08-20,Amazon DynamoDB,us-east-1,Backend,prod,25.63,847291038472
2025-08-21,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,41.74,847291038472
2025-08-21,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.83,847291038472
2025-08-21,Amazon Relational Database Service,us-east-1,Database,prod,37.48,847291038472
2025-08-21,Amazon Relational Database Service,us-east-1,Database,dev,8.05,847291038472
2025-08-21,Amazon Simple Storage Service,us-west-2,Data,prod,15.08,847291038472
2025-08-21,Amazon CloudFront,global,Frontend,prod,18.94,847291038472
2025-08-21,Amazon CloudFront,global,Frontend,staging,6.13,847291038472
2025-08-21,Amazon DynamoDB,us-east-1,Backend,prod,25.53,847291038472
2025-08-22,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,56.06,847291038472
2025-08-22,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.24,847291038472
2025-08-22,Amazon Relational Database Service,us-east-1,Database,prod,36.22,847291038472
2025-08-22,Amazon Relational Database Service,us-east-1,Database,dev,8.16,847291038472
2025-08-22,Amazon Simple Storage Service,us-west-2,Data,prod,14.77,847291038472
2025-08-22,Amazon CloudFront,global,Frontend,prod,16.74,847291038472
2025-08-22,Amazon CloudFront,global,Frontend,staging,5.58,847291038472
2025-08-22,Amazon DynamoDB,us-east-1,Backend,prod,25.54,847291038472
2025-08-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.57,847291038472
2025-08-23,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.11,847291038472
2025-08-23,Amazon Relational Database Service,us-east-1,Database,prod,39.42,847291038472
2025-08-23,Amazon Relational Database Service,us-east-1,Database,dev,11.25,847291038472
2025-08-23,Amazon Simple Storage Service,us-west-2,Data,prod,16.05,847291038472
2025-08-23,Amazon CloudFront,global,Frontend,prod,18.65,847291038472
2025-08-23,Amazon CloudFront,global,Frontend,staging,5.31,847291038472
2025-08-23,Amazon DynamoDB,us-east-1,Backend,prod,21.72,847291038472
2025-08-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,44.93,847291038472
2025-08-24,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,14.76,847291038472
2025-08-24,Amazon Relational Database Service,us-east-1,Database,prod,36.53,847291038472
2025-08-24,Amazon Relational Database Service,us-east-1,Database,dev,8.19,847291038472
2025-08-24,Amazon Simple Storage Service,us-west-2,Data,prod,13.62,847291038472
2025-08-24,Amazon CloudFront,global,Frontend,prod,24.33,847291038472
2025-08-24,Amazon CloudFront,global,Frontend,staging,2.97,847291038472
2025-08-24,Amazon DynamoDB,us-east-1,Backend,prod,21.09,847291038472
2025-08-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,44.64,847291038472
2025-08-25,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,20.07,847291038472
2025-08-25,Amazon Relational Database Service,us-east-1,Database,prod,41.36,847291038472
2025-08-25,Amazon Relational Database Service,us-east-1,Database,dev,7.89,847291038472
2025-08-25,Amazon Simple Storage Service,us-west-2,Data,prod,12.87,847291038472
2025-08-25,Amazon CloudFront,global,Frontend,prod,18.46,847291038472
2025-08-25,Amazon CloudFront,global,Frontend,staging,6.23,847291038472
2025-08-25,Amazon DynamoDB,us-east-1,Backend,prod,22.91,847291038472
2025-08-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,54.07,847291038472
2025-08-26,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,12.55,847291038472
2025-08-26,Amazon Relational Database Service,us-east-1,Database,prod,40.23,847291038472
2025-08-26,Amazon Relational Database Service,us-east-1,Database,dev,8.53,847291038472
2025-08-26,Amazon Simple Storage Service,us-west-2,Data,prod,12.55,847291038472
2025-08-26,Amazon CloudFront,global,Frontend,prod,18.14,847291038472
2025-08-26,Amazon CloudFront,global,Frontend,staging,4.23,847291038472
2025-08-26,Amazon DynamoDB,us-east-1,Backend,prod,26.02,847291038472
2025-08-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,52.05,847291038472
2025-08-27,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,19.08,847291038472
2025-08-27,Amazon Relational Database Service,us-east-1,Database,prod,35.89,847291038472
2025-08-27,Amazon Relational Database Service,us-east-1,Database,dev,8.6,847291038472
2025-08-27,Amazon Simple Storage Service,us-west-2,Data,prod,11.27,847291038472
2025-08-27,Amazon CloudFront,global,Frontend,prod,17.03,847291038472
2025-08-27,Amazon CloudFront,global,Frontend,staging,6.64,847291038472
2025-08-27,Amazon DynamoDB,us-east-1,Backend,prod,20.94,847291038472
2025-08-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,53.13,847291038472
2025-08-28,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,17.61,847291038472
2025-08-28,Amazon Relational Database Service,us-east-1,Database,prod,40.64,847291038472
2025-08-28,Amazon Relational Database Service,us-east-1,Database,dev,9.34,847291038472
2025-08-28,Amazon Simple Storage Service,us-west-2,Data,prod,13.37,847291038472
2025-08-28,Amazon CloudFront,global,Frontend,prod,20.01,847291038472
2025-08-28,Amazon CloudFront,global,Frontend,staging,5.95,847291038472
2025-08-28,Amazon DynamoDB,us-east-1,Backend,prod,21.17,847291038472
2025-08-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.97,847291038472
2025-08-29,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,18.49,847291038472
2025-08-29,Amazon Relational Database Service,us-east-1,Database,prod,39.88,847291038472
2025-08-29,Amazon Relational Database Service,us-east-1,Database,dev,8.5,847291038472
2025-08-29,Amazon Simple Storage Service,us-west-2,Data,prod,16.6,847291038472
2025-08-29,Amazon CloudFront,global,Frontend,prod,22.91,847291038472
2025-08-29,Amazon CloudFront,global,Frontend,staging,4.36,847291038472
2025-08-29,Amazon DynamoDB,us-east-1,Backend,prod,26.54,847291038472
2025-08-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,39.32,847291038472
2025-08-30,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.69,847291038472
2025-08-30,Amazon Relational Database Service,us-east-1,Database,prod,34.93,847291038472
2025-08-30,Amazon Relational Database Service,us-east-1,Database,dev,7.9,847291038472
2025-08-30,Amazon Simple Storage Service,us-west-2,Data,prod,14.15,847291038472
2025-08-30,Amazon CloudFront,global,Frontend,prod,20.72,847291038472
2025-08-30,Amazon CloudFront,global,Frontend,staging,6.86,847291038472
2025-08-30,Amazon DynamoDB,us-east-1,Backend,prod,21.84,847291038472
2025-08-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,45.95,847291038472
2025-08-31,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.18,847291038472
2025-08-31,Amazon Relational Database Service,us-east-1,Database,prod,38.03,847291038472
2025-08-31,Amazon Relational Database Service,us-east-1,Database,dev,7.72,847291038472
2025-08-31,Amazon Simple Storage Service,us-west-2,Data,prod,16.47,847291038472
2025-08-31,Amazon CloudFront,global,Frontend,prod,19.35,847291038472
2025-08-31,Amazon CloudFront,global,Frontend,staging,4.81,847291038472
2025-08-31,Amazon DynamoDB,us-east-1,Backend,prod,24.71,847291038472
2025-09-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,43.87,847291038472
2025-09-01,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,15.13,847291038472
2025-09-01,Amazon Relational Database Service,us-east-1,Database,prod,37.74,847291038472
2025-09-01,Amazon Relational Database Service,us-east-1,Database,dev,9.14,847291038472
2025-09-01,Amazon Simple Storage Service,us-west-2,Data,prod,15.3,847291038472
2025-09-01,Amazon CloudFront,global,Frontend,prod,21.83,847291038472
2025-09-01,Amazon CloudFront,global,Frontend,staging,2.77,847291038472
2025-09-01,Amazon DynamoDB,us-east-1,Backend,prod,28.3,847291038472
2025-09-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,prod,49.57,847291038472
2025-09-02,Amazon Elastic Compute Cloud - Compute,us-east-1,Backend,staging,16.82,847291038472
2025-09-02,Amazon Relational Database Service,us-east-1,Database,prod,39.54,847291038472
2025-09-02,Amazon Relational Database Service,us-east-1,Database,dev,7.03,847291038472
2025-09-02,Amazon Simple Storage Service,us-west-2,Data,prod,13.72,847291038472
2025-09-02,Amazon CloudFront,global,Frontend,prod,21.79,847291038472
2025-09-02,Amazon CloudFront,global,Frontend,staging,6.2,847291038472
2025-09-02,Amazon DynamoDB,us-east-1,Backend,prod,25.03,847291038472
